year,R1234YF,R1234ZEE,R227EA,R236EA,R245FA,R600A,R600,R601A,R601
0,17.6664412726379,7.90064292015343,20.8841486054469,16.4530300284049,15.2357829641381,14.4090391959834,15.212469325991,18.0983961868569,17.7746534240368
5,17.6664412726379,7.90064292015343,20.8841486054469,16.4530300284049,15.2357829641381,14.4090391959834,15.212469325991,18.0983961868569,17.7746534240368
10,17.6664412726379,7.90064292015343,20.8841486054469,16.4530300284049,15.2357829641381,14.4090391959834,15.212469325991,18.0983961868569,17.7746534240368
15,17.6664412726379,7.90064292015343,20.8841486054469,16.4530300284049,15.2357829641381,14.4090391959834,15.212469325991,18.0983961868569,17.7746534240368
20,14.5266110086366,7.83566997152363,18.1139854001528,16.0069520194886,14.7937786492461,14.167511541021,14.7296176783426,17.4248187887644,17.1495794962405
25,11.0714545594615,8.02949455411714,13.6006494271843,15.3634808913956,14.1838397133822,13.6977708364642,14.0865398017307,16.5456634834965,16.2720260676199
30,7.65769509741672,8.24444538566469,13.2590998310911,14.8312154138804,13.6826630036124,13.2741170256034,13.6320072344843,15.8687005020352,15.6240981677404
35,7.70763185448245,9.35299530820894,13.0977938309197,14.439964304101,13.3164590571673,12.921791785361,13.2138104398799,15.3609100037756,15.1161647135275
40,7.7718237380245,9.59390973357217,12.9199504338263,14.0389846887395,13.0063829953204,12.6480559753509,12.9030435296242,14.875535668051,14.6976844934077
