fluid,year,T_HS_in_K,net_output_kW,eta_ex_percent,Ed_total_W,ratio_Ede_percent,ratio_Edt_percent,ratio_Edp_percent,ratio_Edmix_percent,ratio_Edc_percent,ratio_Edt_h_percent,ratio_Edt_l_percent,ratio_Edp_1_percent,ratio_Edp_2_percent,ratio_Ede_pre_percent,ratio_Ede_hp_percent,ratio_Ede_lp_percent,lmtd_hp_K,lmtd_lp_K,P_e_lp_kPa,P_e_hp_kPa
R1234YF,0,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,1,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,2,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,3,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,4,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,5,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,6,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,7,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,8,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,9,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,10,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,11,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,12,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,13,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,14,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,15,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,16,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,17,423.15,4187.11870518587,44.1776285678057,4698197.08856255,33.4878719721908,25.2562508845752,3.65831496189167,0.0546505296111826,37.5429116517311,0.746885087489138,24.5093657970861,3.36562452941718,0.292690432474488,16.482695263272,16.8481559031931,0.157020805725773,17.5278665995007,5.10026415425652,2892.46824485268,3043.98
R1234YF,18,420.663681274013,4058.94972786961,44.353492643013,4493048.39823607,32.8710794344959,25.7122906752426,3.71743261390891,0.0577052164758313,37.6414920598768,0.493054513453052,25.2192361617896,3.51653039408154,0.200902219827368,16.6221998235015,16.1049503276465,0.143929283347918,17.0476418246751,5.6918357131044,2943.98,3043.98
R1234YF,19,418.327947781502,3952.9364854555,44.6707858524896,4321823.81955461,33.3010939000845,26.870539556261,4.0238407143558,0.0025571947013248,35.8019686345974,0.81665978944172,26.0538797668193,3.68305565362962,0.340785060726177,17.242793023588,16.0445311837781,0.0137696927184197,17.9386637996797,5.30802389365605,2885.10942268878,3043.98
R1234YF,20,416.14796566506,3869.6971674086,45.149852893509,4134406.30824152,31.884923808987,27.5974140351903,4.11878975818402,0.0162773575414666,36.3825950400973,0.514027077440251,27.0833869577501,3.89500769927834,0.223782058905678,16.9951688728753,14.7973457566408,0.0924091794708192,17.4614101506445,5.0,2943.98,3043.98
R1234YF,21,414.106205453755,3742.92570090385,45.021674484062,4020209.55208462,31.9807488069003,27.2392026648724,4.07250267356515,0.0542477378468233,36.6532981168153,23.265040061145,3.97416260372741,0.281792856138565,3.79070981742658,2.16338717286007,29.1832795203724,0.634082113667888,17.010236570606,5.6079062516374,935.021549254648,3043.98
R1234YF,22,412.187839467732,3655.76804973792,45.272588633667,3870123.96676437,31.0924149553743,27.6520445387371,4.15559958629588,0.0695642452229784,37.0303766743697,22.724985429297,4.92705910944008,0.357356850699045,3.79824273559683,2.48127762214292,27.9728470027934,0.63829033043801,16.6073460156739,6.87300248497682,971.81566007416,3043.98
R1234YF,23,410.38022308203,3539.69234589551,45.0749594249446,3778514.38518123,31.5934912302172,28.4202927552257,4.41110689125753,0.022079572869108,35.5530295504304,24.2003973143144,4.2198954409113,0.305194398906523,4.105912492351,2.25284262690844,28.6919796107358,0.648668992573011,17.31508251975,6.41002721761908,935.021549254648,3043.98
R1234YF,24,408.672493551039,3481.26611569138,45.5336140820397,3639773.55156838,29.9785383211284,29.1675592985779,4.51528230595393,0.016832198865286,36.3217878754745,26.2245630144841,2.9429962840938,0.20651516846089,4.30876713749304,1.60257376523182,27.7538528717793,0.622111684117321,16.8893842815372,5.67823950403512,883.509794107331,3043.98
R1234YF,25,407.055256013421,3403.65599118472,45.6790531192901,3520089.57905993,29.3514952793852,29.3874378982299,4.58172788887183,0.0159763442519607,36.6633625892611,24.5656571980298,4.82178070020018,0.352917170349819,4.22881071852201,2.27377251500013,26.4545604022619,0.623162362123176,16.482702756493,6.15538197576397,952.192134303754,3043.98
R1234YF,26,405.520335037963,3301.20037036884,45.4157170998457,3441044.46363114,28.4839575495669,30.6980985696287,5.03783818691012,3.91518772365781e-05,35.780066542017,0.787556782525196,29.9105417871035,4.63648994126585,0.401348245644271,16.7507154963269,11.7082078021543,0.0250342510857635,17.1003135549592,5.0,2894.92118557398,3043.98
R1234YF,27,404.06057606014,3253.08130586173,45.8362728502261,3322476.39367839,27.0858777473654,31.3277618234498,5.11298742664705,0.0004748726260675,36.4728981299117,0.525572246534031,30.8021895769157,4.83613179880378,0.276855627843276,16.2502805494823,10.7110276410541,0.124569556828935,16.6942677877193,5.0,2943.98,3043.98
R1234YF,28,402.669685232225,3169.2583005072,45.6979653076813,3263475.74589167,27.1513315152567,30.8334262378373,5.01508895643229,0.0002045244071982,36.9999487660664,27.6430982238735,3.19032801396388,0.229436550416185,4.7856524060161,1.53839007577883,25.0134263399972,0.599515099480708,16.3040744925128,6.11370720265946,883.509794107331,3043.98
R1234YF,29,401.342099162019,3091.26860258242,45.5795690317113,3175806.15747826,27.3073847529071,30.615860324181,5.03484145359024,0.0002019230033581,37.0417115463182,23.6320117440822,6.98384858009881,0.545026262176486,4.48981519141375,2.89778033830438,23.7745293172456,0.635075097357172,15.9683724664737,7.05437136274459,1020.87447450018,3043.98
R1234YF,30,400.072878133339,2991.86855525042,45.0777001688222,3116170.96595863,28.1390862908064,30.0697754690643,4.97405310377483,7.65953982692312e-06,36.8170774768146,20.1673904141532,9.90238505491116,0.826743868298313,4.14730923547652,4.15920504738625,23.0554257106185,0.924455532801692,16.4477564375072,7.94453061760414,1145.97445128652,3043.98
R1234YF,31,398.857617940752,2901.02756466953,44.6342608855177,3056930.71822261,28.7340887898652,29.6778302112692,4.91792354495736,7.5051494320614e-08,36.6701573788568,17.8516512473087,11.8261789639605,1.03461565048471,3.88330789447265,5.09120906032988,22.4047840171521,1.23809571238317,16.8900389611948,8.77598465927667,1239.18619869595,3043.98
R1234YF,32,397.692376603138,2817.08102749778,44.2326157442687,2998606.02917111,29.1927957843398,29.3711002681425,4.86450220234721,9.59019930181159e-08,36.5716016492685,16.1960765891991,13.1750236789434,1.19230771743755,3.67219448490965,5.80296513140244,21.8235696578409,1.56626099509637,17.2748951231445,9.55962828871823,1310.32147961367,3043.98
R1234YF,33,396.573613062677,2738.72596765352,43.8595925462434,2938925.21646013,29.5679784977434,29.1330714677683,4.82026523107234,1.15747930287506e-07,36.4786846876681,14.704325186198,14.4287462815702,1.34910321679316,3.47116201427917,6.49619136327777,21.2093563219869,1.8624308124787,17.4960701148542,10.2959963712301,1381.45676053139,3043.98
R1234YF,34,395.498135608393,2664.99411018355,43.5056705519485,2883822.18381394,29.892967617817,28.9031240298808,4.76854788654466,1.38330727786791e-07,36.4353603274269,13.7735424192869,15.1295816105939,1.44087285409903,3.32767503244563,6.9277155896844,20.7527923990874,2.21245962904518,17.787268008976,11.0050445361985,1423.15675279351,3043.98
