year,T_HS_in_K,net_output_kW,eta_ex_percent,Ed_total_W,ratio_Ede_percent,ratio_Edt_percent,ratio_Edp_percent,ratio_Edmix_percent,ratio_Edc_percent,ratio_Edt_h_percent,ratio_Edt_l_percent,ratio_Edp_1_percent,ratio_Edp_2_percent,ratio_Ede_pre_percent,ratio_Ede_hp_percent,ratio_Ede_lp_percent,lmtd_hp_K,lmtd_lp_K,P_e_lp_kPa,P_e_hp_kPa
0.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
1.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
2.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
3.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
4.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
5.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
6.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
7.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
8.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
9.0,423.15,4305.05916688938,45.4219997636354,4587119.09760161,27.0101041827775,25.2495111225766,3.26487134342971,0.0333287680313723,44.4421845831848,0.461230211991402,24.7882809105852,3.0770902609501,0.187781082479618,15.1684855227069,11.7558990793105,0.0857195807601032,16.1246535570904,5.0,2532.5,2632.5
