year,T_HS_in_K,net_output_kW,eta_ex_percent,Ed_total_W,ratio_Ede_percent,ratio_Edt_percent,ratio_Edp_percent,ratio_Edmix_percent,ratio_Edc_percent,ratio_Edt_h_percent,ratio_Edt_l_percent,ratio_Edp_1_percent,ratio_Edp_2_percent,ratio_Ede_pre_percent,ratio_Ede_hp_percent,ratio_Ede_lp_percent,lmtd_hp_K,lmtd_lp_K,P_e_lp_kPa,P_e_hp_kPa
0.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
1.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
2.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
3.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
4.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
5.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
6.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
7.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
8.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
9.0,423.15,4240.85381434821,44.7445792230819,4101716.51998588,40.1167358459195,24.8574372487941,0.661381132692613,0.428136975817818,33.936308796776,7.07272515114785,17.7847120976462,0.308740544564845,0.352640588127768,9.4276499954886,20.4395522128163,10.2495336376146,33.4448355777962,27.8034625167747,374.823050745627,889.156294584298
