year,T_HS_in_K,net_output_kW,eta_ex_percent,Ed_total_W,ratio_Ede_percent,ratio_Edt_percent,ratio_Edp_percent,ratio_Edmix_percent,ratio_Edc_percent,ratio_Edt_h_percent,ratio_Edt_l_percent,ratio_Edp_1_percent,ratio_Edp_2_percent,ratio_Ede_pre_percent,ratio_Ede_hp_percent,ratio_Ede_lp_percent,lmtd_hp_K,lmtd_lp_K,P_e_lp_kPa,P_e_hp_kPa
0.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
1.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
2.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
3.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
4.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
5.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
6.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
7.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
8.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
9.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
10.0,423.15,4233.90517589595,44.6712652355382,4073784.94409183,40.9187547576425,24.8961212768605,0.51102641061332,0.402093243104833,33.2720043117789,7.0654511319661,17.8306701448944,0.235123023407655,0.275903387205664,9.21846590457443,20.751200627915,10.9490882251531,34.1240849896472,28.7217361952045,296.795981882349,732.234026841601
