fluid,year,T_HS_in_K,T_HS_in_C,ratio_unused_total_percent,ratio_Ede_total_percent,ratio_Edt_total_percent,ratio_Edc_total_percent,ratio_Edp_total_percent,ratio_sum_total_percent
R601,40,389.809810262596,116.659810262596,29.709287391473403,29.715432993996814,15.427495725839766,24.918844742828323,0.2289391458616834,100.0
R601,35,394.463058243324,121.313058243324,28.52572066239022,30.188775634413705,16.009889542670194,25.02700611113677,0.2486080493890812,99.99999999999996
R601,30,400.072878133339,126.922878133339,27.16792163787636,30.680285653758688,16.693725676304457,25.184473731266912,0.2735933007934977,99.99999999999991
R601,25,407.055256013421,133.90525601342102,25.646431593628357,31.130134044943716,17.516946283631718,25.39946926986083,0.3070188079354132,100.0
R601,20,416.14796566506,142.99796566506,23.934355529448688,31.42910371116997,18.55116492491428,25.72880928031173,0.3565665541553207,100.0
R601,0,423.15,150.0,22.31548014613712,31.787538163654258,19.34043227616448,26.159561000632813,0.3969884134113875,100.00000000000009
R601,5,423.15,150.0,22.31548014613712,31.787538163654258,19.34043227616448,26.159561000632813,0.3969884134113875,100.00000000000009
R601,10,423.15,150.0,22.31548014613712,31.787538163654258,19.34043227616448,26.159561000632813,0.3969884134113875,100.00000000000009
R601,15,423.15,150.0,22.31548014613712,31.787538163654258,19.34043227616448,26.159561000632813,0.3969884134113875,100.00000000000009
